Country/Region,Province/State,Lat,Long,Latest_Cases
Afghanistan,,33.93911,67.709953,209451
Albania,,41.1533,20.1683,334457
Algeria,,28.0339,1.6596,271496
Andorra,,42.5063,1.5218,47890
Angola,,-11.2027,17.8739,105288
Antarctica,,-71.9499,23.347,11
Antigua and Barbuda,,17.0608,-61.7964,9106
Argentina,,-38.4161,-63.6167,10044957
Armenia,,40.0691,45.0382,447308
Australia,Australian Capital Territory,-35.4735,149.0124,232974
Australia,New South Wales,-33.8688,151.2093,3915992
Australia,Northern Territory,-12.4634,130.8456,105111
Australia,Queensland,-27.4698,153.0251,1800236
Australia,South Australia,-34.9285,138.6007,883620
Australia,Tasmania,-42.8821,147.3272,287507
Australia,Victoria,-37.8136,144.9631,2880559
Australia,Western Australia,-31.9505,115.8605,1293461
Austria,,47.5162,14.5501,5961143
Azerbaijan,,40.1431,47.5769,828825
Bahamas,,25.025885,-78.035889,37491
Bahrain,,26.0275,50.55,710693
Bangladesh,,23.685,90.3563,2037871
Barbados,,13.1939,-59.5432,106798
Belarus,,53.7098,27.9534,994037
Belgium,,50.8333,4.469936,4739365
Belize,,17.1899,-88.4976,70757
Benin,,9.3077,2.3158,27999
Bhutan,,27.5142,90.4336,62627
Bolivia,,-16.2902,-63.5887,1194277
Bosnia and Herzegovina,,43.9159,17.6791,401729
Botswana,,-22.3285,24.6849,329758
Brazil,,-14.235,-51.9253,37076053
Brunei,,4.5353,114.7277,279661
Bulgaria,,42.7339,25.4858,1297523
Burkina Faso,,12.2383,-1.5616,22056
Burma,,21.9162,95.956,633950
Burundi,,-3.3731,29.9189,53631
Cabo Verde,,16.5388,-23.0418,63244
Cambodia,,11.55,104.9167,138719
Cameroon,,3.848,11.5021,124392
Canada,Alberta,53.9333,-116.5765,629269
Canada,British Columbia,53.7267,-127.6476,396817
Canada,Diamond Princess,0.0,0.0,0
Canada,Grand Princess,0.0,0.0,13
Canada,Manitoba,53.7609,-98.8139,154712
Canada,New Brunswick,46.5653,-66.4619,88866
Canada,Newfoundland and Labrador,53.1355,-57.6604,54757
Canada,Northwest Territories,64.8255,-124.8457,11511
Canada,Nova Scotia,44.682,-63.7443,140793
Canada,Nunavut,70.2998,-83.1076,3531
Canada,Ontario,51.2538,-85.3232,1601325
Canada,Prince Edward Island,46.5107,-63.4168,56523
Canada,Quebec,52.9399,-73.5491,1320325
Canada,Repatriated Travellers,,,13
Canada,Saskatchewan,52.9399,-106.4509,153651
Canada,Yukon,64.2823,-135.0,4989
Central African Republic,,6.6111,20.9394,15368
Chad,,15.4542,18.7322,7679
Chile,,-35.6751,-71.543,5192286
China,Anhui,31.8257,117.2264,2275
China,Beijing,40.1824,116.4142,40774
China,Chongqing,30.0572,107.874,14715
China,Fujian,26.0789,117.9874,17122
China,Gansu,35.7518,104.2861,1742
China,Guangdong,23.3417,113.4244,103248
China,Guangxi,23.8298,108.7881,13371
China,Guizhou,26.8154,106.8748,2534
China,Hainan,19.1959,109.7453,10483
China,Hebei,39.549,116.1306,3292
China,Heilongjiang,47.862,127.7615,6603
China,Henan,37.8957,114.9042,9948
China,Hong Kong,22.3,114.2,2876106
China,Hubei,30.9756,112.2707,72131
China,Hunan,27.6104,111.7088,7437
China,Inner Mongolia,44.0935,113.9448,8847
China,Jiangsu,32.9711,119.455,5075
China,Jiangxi,27.614,115.7221,3423
China,Jilin,43.6661,126.1923,40764
China,Liaoning,41.2956,122.6085,3547
China,Macau,22.1667,113.55,3514
China,Ningxia,37.2692,106.1655,1276
China,Qinghai,35.7452,95.9956,782
China,Shaanxi,35.1917,108.8701,7326
China,Shandong,36.3427,118.1498,5880
China,Shanghai,31.202,121.4491,67040
China,Shanxi,37.5777,112.2922,7167
China,Sichuan,30.6171,102.7103,14567
China,Tianjin,39.3054,117.323,4392
China,Tibet,31.6927,88.0924,1647
China,Unknown,,,1521816
China,Xinjiang,41.1129,85.2401,3089
China,Yunnan,24.974,101.487,9743
China,Zhejiang,29.1832,120.0934,11848
Colombia,,4.5709,-74.2973,6359093
Comoros,,-11.6455,43.3333,9008
Congo (Brazzaville),,-0.228,15.8277,25087
Congo (Kinshasa),,-4.0383,21.7587,95749
Costa Rica,,9.7489,-83.7534,1209725
Cote d'Ivoire,,7.54,-5.5471,88263
Croatia,,45.1,15.2,1269326
Cuba,,21.521757,-77.781167,1112643
Cyprus,,35.1264,33.4299,650685
Czechia,,49.8175,15.473,4618256
Denmark,Faroe Islands,61.8926,-6.9118,34658
Denmark,Greenland,71.7069,-42.6043,11971
Denmark,,56.2639,9.5018,3404407
Diamond Princess,,0.0,0.0,712
Djibouti,,11.8251,42.5903,15690
Dominica,,15.415,-61.371,15760
Dominican Republic,,18.7357,-70.1627,660790
Ecuador,,-1.8312,-78.1834,1057121
Egypt,,26.820553,30.802498,515759
El Salvador,,13.7942,-88.8965,201785
Equatorial Guinea,,1.6508,10.2679,17229
Eritrea,,15.1794,39.7823,10189
Estonia,,58.5953,25.0136,615433
Eswatini,,-26.5225,31.4659,74267
Ethiopia,,9.145,40.4897,500116
Fiji,,-17.7134,178.065,68898
Finland,,61.92411,25.748151,1463644
France,French Guiana,3.9339,-53.1258,98041
France,French Polynesia,-17.6797,149.4068,78055
France,Guadeloupe,16.265,-61.551,201886
France,Martinique,14.6415,-61.0242,229020
France,Mayotte,-12.8275,45.166244,42004
France,New Caledonia,-20.904305,165.618042,80017
France,Reunion,-21.1151,55.5364,494595
France,Saint Barthelemy,17.9,-62.8333,5441
France,Saint Pierre and Miquelon,46.8852,-56.3159,3452
France,St Martin,18.0708,-63.0501,12271
France,Wallis and Futuna,-14.2938,-178.1165,3427
France,,46.2276,2.2137,38618509
Gabon,,-0.8037,11.6094,48981
Gambia,,13.4432,-15.3101,12598
Georgia,,42.3154,43.3569,1827537
Germany,,51.165691,10.451526,38249060
Ghana,,7.9465,-1.0232,171229
Greece,,39.0742,21.8243,5548487
Grenada,,12.1165,-61.679,19680
Guatemala,,15.7835,-90.2308,1238247
Guinea,,9.9456,-9.6966,38267
Guinea-Bissau,,11.8037,-15.1804,8960
Guyana,,4.860416,-58.93018,73075
Haiti,,18.9712,-72.2852,34202
Holy See,,41.9029,12.4534,29
Honduras,,15.2,-86.2419,472250
Hungary,,47.1625,19.5033,2196804
Iceland,,64.9631,-19.0208,209137
India,,20.593684,78.96288,44690738
Indonesia,,-0.7893,113.9213,6738225
Iran,,32.427908,53.688046,7572311
Iraq,,33.223191,43.679291,2465545
Ireland,,53.1424,-7.6921,1704502
Israel,,31.046051,34.851612,4803824
Italy,,41.87194,12.56738,25603510
Jamaica,,18.1096,-77.2975,154416
Japan,,36.204824,138.252924,33320438
Jordan,,31.24,36.51,1746997
Kazakhstan,,48.0196,66.9237,1498668
Kenya,,-0.0236,37.9062,342937
Kiribati,,-3.3704,-168.734,5014
"Korea, North",,40.3399,127.5101,1
"Korea, South",,35.907757,127.766922,30615522
Kosovo,,42.602636,20.902977,273312
Kuwait,,29.31166,47.481766,663860
Kyrgyzstan,,41.20438,74.766098,206708
Laos,,19.85627,102.495496,218023
Latvia,,56.8796,24.6032,976255
Lebanon,,33.8547,35.8623,1232828
Lesotho,,-29.61,28.2336,34790
Liberia,,6.428055,-9.429499,8090
Libya,,26.3351,17.228331,507187
Liechtenstein,,47.14,9.55,21432
Lithuania,,55.1694,23.8813,1307448
Luxembourg,,49.8153,6.1296,317367
MS Zaandam,,0.0,0.0,9
Madagascar,,-18.766947,46.869107,67889
Malawi,,-13.2543,34.3015,88707
Malaysia,,4.210484,101.975766,5044718
Maldives,,3.2028,73.2207,185738
Mali,,17.570692,-3.996166,33062
Malta,,35.9375,14.3754,117610
Marshall Islands,,7.1315,171.1845,15649
Mauritania,,21.0079,-10.9408,63668
Mauritius,,-20.348404,57.552152,296042
Mexico,,23.6345,-102.5528,7483444
Micronesia,,7.4256,150.5508,23948
Moldova,,47.4116,28.3699,611140
Monaco,,43.7333,7.4167,16121
Mongolia,,46.8625,103.8467,1007900
Montenegro,,42.708678,19.37439,288808
Morocco,,31.7917,-7.0926,1272490
Mozambique,,-18.665695,35.529562,233214
Namibia,,-22.9576,18.4904,171156
Nauru,,-0.5228,166.9315,5247
Nepal,,28.1667,84.25,1001154
Netherlands,Aruba,12.5211,-69.9683,44044
Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,11804
Netherlands,Curacao,12.1696,-68.99,45986
Netherlands,Sint Maarten,18.0425,-63.0548,11020
Netherlands,,52.1326,5.2913,8599981
New Zealand,Cook Islands,-21.2367,-159.7777,7031
New Zealand,Niue,-19.0544,-169.8672,792
New Zealand,,-40.9006,174.886,2228291
Nicaragua,,12.865416,-85.207229,15655
Niger,,17.607789,8.081666,9508
Nigeria,,9.082,8.6753,266598
North Macedonia,,41.6086,21.7453,346852
Norway,,60.472,8.4689,1479506
Oman,,21.512583,55.923255,399449
Pakistan,,30.3753,69.3451,1577411
Palau,,7.515,134.5825,5991
Panama,,8.538,-80.7821,1031731
Papua New Guinea,,-6.314993,143.95555,46825
Paraguay,,-23.4425,-58.4438,808401
Peru,,-9.19,-75.0152,4487553
Philippines,,12.879721,121.774017,4077452
Poland,,51.9194,19.1451,6444960
Portugal,,39.3999,-8.2245,5570473
Qatar,,25.3548,51.1839,495090
Romania,,45.9432,24.9668,3346046
Russia,,61.52401,105.318756,22075858
Rwanda,,-1.9403,29.8739,133194
Saint Kitts and Nevis,,17.357822,-62.782998,6597
Saint Lucia,,13.9094,-60.9789,30004
Saint Vincent and the Grenadines,,12.9843,-61.2872,9589
Samoa,,-13.759,-172.1046,16607
San Marino,,43.9424,12.4578,23616
Sao Tome and Principe,,0.1864,6.6131,6281
Saudi Arabia,,23.885942,45.079162,830127
Senegal,,14.4974,-14.4524,88926
Serbia,,44.0165,21.0059,2500142
Seychelles,,-4.6796,55.492,50665
Sierra Leone,,8.460555,-11.779889,7760
Singapore,,1.2833,103.8333,2235294
Slovakia,,48.669,19.699,2667551
Slovenia,,46.1512,14.9955,1331707
Solomon Islands,,-9.6457,160.1562,24575
Somalia,,5.152149,46.199616,27324
South Africa,,-30.5595,22.9375,4067067
South Sudan,,6.877,31.307,18368
Spain,,40.463667,-3.74922,13770429
Sri Lanka,,7.873054,80.771797,672039
Sudan,,12.8628,30.2176,63829
Summer Olympics 2020,,35.6491,139.7737,865
Suriname,,3.9193,-56.0278,82467
Sweden,,60.128161,18.643501,2699339
Switzerland,,46.8182,8.2275,4413911
Syria,,34.802075,38.996815,57467
Taiwan*,,23.7,121.0,9970937
Tajikistan,,38.861,71.2761,17786
Tanzania,,-6.369028,34.888822,42906
Thailand,,15.870032,100.992541,4728182
Timor-Leste,,-8.874217,125.727539,23419
Togo,,8.6195,0.8248,39396
Tonga,,-21.179,-175.1982,16810
Trinidad and Tobago,,10.6918,-61.2225,189918
Tunisia,,33.886917,9.537499,1151126
Turkey,,38.9637,35.2433,17042722
Tuvalu,,-7.1095,177.6493,2805
US,,40.0,-100.0,103802702
Uganda,,1.373333,32.290275,170544
Ukraine,,48.3794,31.1656,5711929
United Arab Emirates,,23.424076,53.847818,1053213
United Kingdom,Anguilla,18.2206,-63.0686,3904
United Kingdom,Bermuda,32.3078,-64.7505,18828
United Kingdom,British Virgin Islands,18.4207,-64.64,7305
United Kingdom,Cayman Islands,19.3133,-81.2546,31472
United Kingdom,Channel Islands,49.3723,-2.3644,0
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,1930
United Kingdom,Gibraltar,36.1408,-5.3536,20433
United Kingdom,Guernsey,49.448196,-2.58949,34991
United Kingdom,Isle of Man,54.2361,-4.5481,38008
United Kingdom,Jersey,49.2138,-2.1358,66391
United Kingdom,Montserrat,16.742498,-62.187366,1403
United Kingdom,Pitcairn Islands,-24.3768,-128.3242,4
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,2166
United Kingdom,Turks and Caicos Islands,21.694,-71.7979,6561
United Kingdom,,55.3781,-3.436,24425309
Uruguay,,-32.5228,-55.7658,1034303
Uzbekistan,,41.377491,64.585262,251247
Vanuatu,,-15.3767,166.9592,12014
Venezuela,,6.4238,-66.5897,552162
Vietnam,,14.058324,108.277199,11526994
West Bank and Gaza,,31.9522,35.2332,703228
Winter Olympics 2022,,39.9042,116.4074,535
Yemen,,15.552727,48.516388,11945
Zambia,,-13.133897,27.849332,343135
Zimbabwe,,-19.015438,29.154857,264276
